GOOGLE INC.,21-Apr-12,596.06
GOOGLE INC.,20-Apr-12,599.3
GOOGLE INC.,19-Apr-12,607.45
GOOGLE INC.,18-Apr-12,609.57
GOOGLE INC.,17-Apr-12,606.07
GOOGLE INC.,16-Apr-12,624.6
GOOGLE INC.,13-Apr-12,651.01
GOOGLE INC.,12-Apr-12,635.96
GOOGLE INC.,11-Apr-12,626.86
GOOGLE INC.,10-Apr-12,630.84
GOOGLE INC.,9-Apr-12,632.32
GOOGLE INC.,5-Apr-12,635.15
GOOGLE INC.,4-Apr-12,642.62
GOOGLE INC.,3-Apr-12,646.92
GOOGLE INC.,2-Apr-12,641.24
GOOGLE INC.,30-Mar-12,648.41
GOOGLE INC.,29-Mar-12,655.76
GOOGLE INC.,28-Mar-12,647.02
GOOGLE INC.,27-Mar-12,649.33
GOOGLE INC.,26-Mar-12,642.59
GOOGLE INC.,23-Mar-12,646.05
GOOGLE INC.,22-Mar-12,639.98
GOOGLE INC.,21-Mar-12,633.49
GOOGLE INC.,20-Mar-12,633.98
GOOGLE INC.,19-Mar-12,625.04
GOOGLE INC.,16-Mar-12,621.13
GOOGLE INC.,15-Mar-12,615.99
GOOGLE INC.,14-Mar-12,617.78
GOOGLE INC.,13-Mar-12,605.15
GOOGLE INC.,12-Mar-12,600.25
GOOGLE INC.,9-Mar-12,607.14
GOOGLE INC.,8-Mar-12,606.8
GOOGLE INC.,7-Mar-12,604.96
GOOGLE INC.,6-Mar-12,614.25
GOOGLE INC.,5-Mar-12,621.25
GOOGLE INC.,2-Mar-12,622.4
GOOGLE INC.,1-Mar-12,618.25
GOOGLE INC.,29-Feb-12,618.39
GOOGLE INC.,28-Feb-12,609.31
GOOGLE INC.,27-Feb-12,609.9
GOOGLE INC.,24-Feb-12,606.11
GOOGLE INC.,23-Feb-12,607.94
GOOGLE INC.,22-Feb-12,614
GOOGLE INC.,21-Feb-12,604.64
GOOGLE INC.,17-Feb-12,606.52
GOOGLE INC.,16-Feb-12,605.56
GOOGLE INC.,15-Feb-12,609.76
GOOGLE INC.,14-Feb-12,612.2
GOOGLE INC.,13-Feb-12,605.91
GOOGLE INC.,10-Feb-12,611.46
GOOGLE INC.,9-Feb-12,609.7
GOOGLE INC.,8-Feb-12,606.77
GOOGLE INC.,7-Feb-12,609.09
GOOGLE INC.,6-Feb-12,596.33
GOOGLE INC.,3-Feb-12,585.11
GOOGLE INC.,2-Feb-12,580.83
GOOGLE INC.,1-Feb-12,580.11
GOOGLE INC.,31-Jan-12,577.69
GOOGLE INC.,30-Jan-12,579.98
GOOGLE INC.,27-Jan-12,568.1
GOOGLE INC.,26-Jan-12,569.49
GOOGLE INC.,25-Jan-12,580.93
GOOGLE INC.,24-Jan-12,585.52
GOOGLE INC.,23-Jan-12,585.99
GOOGLE INC.,20-Jan-12,639.57
GOOGLE INC.,19-Jan-12,632.91
GOOGLE INC.,18-Jan-12,628.58
GOOGLE INC.,17-Jan-12,624.99
GOOGLE INC.,13-Jan-12,629.64
GOOGLE INC.,12-Jan-12,625.96
GOOGLE INC.,11-Jan-12,623.14
GOOGLE INC.,10-Jan-12,622.46
GOOGLE INC.,9-Jan-12,652.73
GOOGLE INC.,6-Jan-12,659.01
GOOGLE INC.,5-Jan-12,668.28
GOOGLE INC.,4-Jan-12,665.41
GOOGLE INC.,3-Jan-12,645.9
GOOGLE INC.,30-Dec-11,642.4
GOOGLE INC.,29-Dec-11,639.7
GOOGLE INC.,28-Dec-11,640.25
GOOGLE INC.,27-Dec-11,631.88
GOOGLE INC.,23-Dec-11,629.7
GOOGLE INC.,22-Dec-11,625.82
GOOGLE INC.,21-Dec-11,630.37
GOOGLE INC.,20-Dec-11,621.83
GOOGLE INC.,19-Dec-11,625.96
GOOGLE INC.,16-Dec-11,619.54
GOOGLE INC.,15-Dec-11,618.07
GOOGLE INC.,14-Dec-11,625.63
GOOGLE INC.,13-Dec-11,625.39
GOOGLE INC.,12-Dec-11,627.42
GOOGLE INC.,9-Dec-11,616.05
GOOGLE INC.,8-Dec-11,623.39
GOOGLE INC.,7-Dec-11,623.77
GOOGLE INC.,6-Dec-11,625.65
GOOGLE INC.,5-Dec-11,620.36
GOOGLE INC.,2-Dec-11,613.77
GOOGLE INC.,1-Dec-11,599.39
GOOGLE INC.,30-Nov-11,582.93
GOOGLE INC.,29-Nov-11,588.19
GOOGLE INC.,28-Nov-11,563
GOOGLE INC.,25-Nov-11,570.11
GOOGLE INC.,23-Nov-11,580
GOOGLE INC.,22-Nov-11,580.94
GOOGLE INC.,21-Nov-11,594.88
GOOGLE INC.,18-Nov-11,600.87
GOOGLE INC.,17-Nov-11,611.47
GOOGLE INC.,16-Nov-11,616.56
GOOGLE INC.,15-Nov-11,613
GOOGLE INC.,14-Nov-11,608.35
GOOGLE INC.,11-Nov-11,595.08
GOOGLE INC.,10-Nov-11,600.95
GOOGLE INC.,9-Nov-11,612.34
GOOGLE INC.,8-Nov-11,608.33
GOOGLE INC.,7-Nov-11,596.14
GOOGLE INC.,4-Nov-11,597.5
GOOGLE INC.,3-Nov-11,584.82
GOOGLE INC.,2-Nov-11,578.65
GOOGLE INC.,1-Nov-11,592.64
GOOGLE INC.,31-Oct-11,600.14
GOOGLE INC.,28-Oct-11,598.67
GOOGLE INC.,27-Oct-11,586.31
GOOGLE INC.,26-Oct-11,583.16
GOOGLE INC.,25-Oct-11,596.42
GOOGLE INC.,24-Oct-11,590.49
GOOGLE INC.,21-Oct-11,583.67
GOOGLE INC.,20-Oct-11,580.7
GOOGLE INC.,19-Oct-11,590.51
GOOGLE INC.,18-Oct-11,582.41
GOOGLE INC.,17-Oct-11,591.68
